epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,1433.81,2.16563,1.27541,2.08341,0.61772,0.56714,0.5713,0.29649,3.47569,2.91511,2.85893,0.0004655,0.0004655,0.0004655
157,1441.06,2.22625,1.29993,2.0835,0.61677,0.60664,0.58516,0.30632,3.44282,2.7708,2.81499,0.0004556,0.0004556,0.0004556
158,1448.29,2.19517,1.28962,2.05161,0.66926,0.55371,0.58594,0.30435,3.47425,2.88566,2.8183,0.0004457,0.0004457,0.0004457
159,1455.56,2.13685,1.24687,2.06483,0.68541,0.55759,0.59436,0.309,3.49789,2.81474,2.87766,0.0004358,0.0004358,0.0004358
160,1462.83,2.2872,1.302,2.05875,0.68229,0.53791,0.58635,0.30691,3.46778,2.92641,2.84584,0.0004259,0.0004259,0.0004259
161,1470.05,2.18638,1.27679,2.07609,0.65169,0.57638,0.58618,0.30364,3.45056,2.84468,2.8365,0.000416,0.000416,0.000416
162,1477.37,2.21014,1.25556,2.05106,0.62909,0.59953,0.60691,0.31331,3.47907,2.83686,2.85961,0.0004061,0.0004061,0.0004061
163,1484.82,2.22483,1.28915,2.06607,0.65492,0.56556,0.59283,0.30182,3.50576,2.87437,2.86936,0.0003962,0.0003962,0.0003962
164,1493.04,2.16731,1.2876,2.0854,0.65205,0.56793,0.58487,0.30036,3.49605,2.94527,2.88091,0.0003863,0.0003863,0.0003863
165,1502.12,2.13546,1.2431,2.02019,0.65562,0.57741,0.5831,0.3041,3.46918,2.85977,2.85051,0.0003764,0.0003764,0.0003764
166,1510.79,2.16577,1.28568,2.08026,0.67156,0.55292,0.585,0.30079,3.49214,2.94912,2.8359,0.0003665,0.0003665,0.0003665
167,1518.13,2.14258,1.23413,2.03177,0.61848,0.60184,0.5836,0.30085,3.49394,2.88916,2.86087,0.0003566,0.0003566,0.0003566
168,1525.44,2.14901,1.21582,2.03448,0.59351,0.60585,0.58152,0.30408,3.5301,2.8466,2.88335,0.0003467,0.0003467,0.0003467
169,1533.22,2.10923,1.21567,2.06108,0.63816,0.55766,0.58031,0.30462,3.5394,2.98531,2.86901,0.0003368,0.0003368,0.0003368
170,1540.94,2.18802,1.24261,2.04681,0.66145,0.55866,0.59463,0.30991,3.53184,2.92219,2.88369,0.0003269,0.0003269,0.0003269
171,1548.61,2.09681,1.23246,2.02683,0.64548,0.57899,0.5781,0.29373,3.5629,2.89184,2.92379,0.000317,0.000317,0.000317
172,1555.83,2.06065,1.22081,2.04752,0.6599,0.57899,0.58767,0.30263,3.5214,2.82678,2.9199,0.0003071,0.0003071,0.0003071
173,1563.33,2.11223,1.21868,2.03405,0.59414,0.62085,0.5908,0.30151,3.52159,2.85613,2.89187,0.0002972,0.0002972,0.0002972
174,1571.38,2.07502,1.18611,2.01537,0.60058,0.59874,0.57971,0.30331,3.50754,2.8491,2.89486,0.0002873,0.0002873,0.0002873
175,1578.63,2.06756,1.22817,2.04601,0.61269,0.58294,0.57813,0.30208,3.49319,2.94504,2.86288,0.0002774,0.0002774,0.0002774
176,1585.6,2.10055,1.22392,2.03381,0.63592,0.57531,0.58076,0.29575,3.53139,2.93603,2.92826,0.0002675,0.0002675,0.0002675
177,1594.35,2.00046,1.16109,2.01199,0.66119,0.57497,0.58726,0.30612,3.51407,2.90424,2.89387,0.0002576,0.0002576,0.0002576
178,1603.74,2.07573,1.17103,2.01354,0.66553,0.56398,0.58329,0.29998,3.50951,2.95666,2.87873,0.0002477,0.0002477,0.0002477
179,1611.93,2.06102,1.15862,2.00628,0.63026,0.56954,0.57526,0.29641,3.51323,2.94904,2.88996,0.0002378,0.0002378,0.0002378
180,1619.04,2.01481,1.16123,2.01562,0.63027,0.58169,0.58315,0.30272,3.48656,2.93883,2.85641,0.0002279,0.0002279,0.0002279
181,1625.99,2.015,1.14878,1.99981,0.69813,0.54028,0.58445,0.3059,3.48464,2.92056,2.86399,0.000218,0.000218,0.000218
